,state,zipcode,1,2,3,4,5,6,wealth,all,wealthy_prop,latitude,longitude
16180,NJ,7739,600.0,270.0,280.0,240.0,670.0,940.0,1610.0,3000.0,0.54,,
2268,CA,94127,1810.0,1120.0,1050.0,880.0,2290.0,3390.0,5680.0,10540.0,0.54,37.7354,-122.4571
25794,WA,98033,3310.0,2410.0,2150.0,1650.0,4380.0,6630.0,11010.0,20530.0,0.54,47.6786,-122.1894
16231,NJ,7920,2640.0,1200.0,1230.0,1010.0,2790.0,4290.0,7080.0,13160.0,0.54,,
21878,SC,29482,220.0,100.0,70.0,60.0,150.0,380.0,530.0,980.0,0.54,32.7637,-79.8399
21463,PA,19041,570.0,290.0,260.0,260.0,570.0,1060.0,1630.0,3010.0,0.54,40.0097,-75.3121
24261,TX,78737,1810.0,990.0,750.0,740.0,2660.0,2370.0,5030.0,9320.0,0.54,30.2107,-97.9427
11290,MI,48301,1600.0,650.0,550.0,520.0,1520.0,2340.0,3860.0,7180.0,0.54,42.5445,-83.2792
16039,NJ,7092,620.0,360.0,310.0,280.0,830.0,980.0,1810.0,3380.0,0.54,,
23053,TX,75205,1850.0,1160.0,1050.0,680.0,1570.0,3940.0,5510.0,10250.0,0.54,32.826,-96.7843
16067,NJ,7310,890.0,760.0,1110.0,1140.0,2660.0,1870.0,4530.0,8430.0,0.54,,
4712,GA,30327,2240.0,1130.0,1080.0,710.0,1440.0,4590.0,6030.0,11190.0,0.54,33.8627,-84.42
16864,NY,10023,5190.0,3490.0,3430.0,3060.0,7350.0,10500.0,17850.0,33020.0,0.54,40.7764,-73.9827
2398,CA,94939,640.0,400.0,390.0,320.0,770.0,1220.0,1990.0,3740.0,0.53,37.9367,-122.5362
16561,NM,87122,1650.0,810.0,750.0,720.0,2350.0,2170.0,4520.0,8450.0,0.53,35.1787,-106.5102
23643,TX,76957,40.0,20.0,30.0,0.0,60.0,40.0,100.0,190.0,0.53,31.3741,-100.3076
3035,CO,80547,550.0,310.0,250.0,270.0,910.0,640.0,1550.0,2930.0,0.53,40.5291,-104.9853
16883,NY,10065,2020.0,1690.0,1890.0,1480.0,3240.0,4720.0,7960.0,15040.0,0.53,40.7651,-73.9638
16850,NY,10006,270.0,230.0,330.0,270.0,630.0,610.0,1240.0,2340.0,0.53,40.7085,-74.0135
16127,NJ,7627,470.0,230.0,200.0,180.0,440.0,760.0,1200.0,2280.0,0.53,,
16479,NJ,8836,410.0,190.0,170.0,150.0,470.0,550.0,1020.0,1940.0,0.53,,
5428,IA,50323,1360.0,730.0,730.0,650.0,2220.0,1640.0,3860.0,7330.0,0.53,41.6294,-93.7717
16885,NY,10075,1960.0,1270.0,1640.0,1520.0,3160.0,3990.0,7150.0,13540.0,0.53,40.7143,-74.006
24197,TX,78619,560.0,300.0,200.0,180.0,640.0,740.0,1380.0,2620.0,0.53,30.1072,-98.0327
4052,FL,33158,650.0,270.0,230.0,220.0,640.0,930.0,1570.0,2940.0,0.53,25.6364,-80.3187
24776,VA,20169,2550.0,1280.0,1140.0,1040.0,3850.0,2820.0,6670.0,12680.0,0.53,38.8674,-77.6445
16151,NJ,7670,1480.0,650.0,520.0,400.0,1120.0,2270.0,3390.0,6440.0,0.53,,
23413,TX,76226,3350.0,1600.0,1390.0,1360.0,5000.0,3650.0,8650.0,16350.0,0.53,33.1062,-97.16
2393,CA,94925,950.0,520.0,460.0,410.0,1020.0,1620.0,2640.0,4980.0,0.53,37.9223,-122.5132
2728,CA,95762,4460.0,2360.0,1860.0,1810.0,6100.0,5510.0,11610.0,22100.0,0.53,38.685,-121.068
10065,MA,1748,1910.0,870.0,700.0,560.0,1860.0,2640.0,4500.0,8540.0,0.53,,
2015,CA,93108,840.0,540.0,410.0,340.0,860.0,1530.0,2390.0,4520.0,0.53,34.4378,-119.6159
10443,MD,20777,370.0,160.0,140.0,130.0,390.0,510.0,900.0,1700.0,0.53,39.1843,-76.9686
10142,MA,2025,840.0,420.0,330.0,270.0,750.0,1350.0,2100.0,3960.0,0.53,,
4404,FL,34242,690.0,410.0,350.0,330.0,740.0,1260.0,2000.0,3780.0,0.53,27.2566,-82.5398
2220,CA,94010,3790.0,2220.0,1950.0,1730.0,3910.0,7220.0,11130.0,20820.0,0.53,37.5671,-122.3676
